specialty_id,explanation,lema,orden,symptom_id,department,symptom_name,logica,plan,description_symptom,kpi_question,kpi_impact,kpi_formula,kpi_objective,threshold_critical,threshold_recommended,threshold_optimizer,threshold_elite,inputs,input_a,input_b,input_revised_1,input_revised_2,result_revised,impact_treatment,optimizer_impact,optimizer_decision,optimizer_decision_explanation,optimizer_action,optimizer_tool_explanation,example,color_theme,capa_1_priorizacion,justi_capa1,capa_2_decision,capa_2_options,justi_capa2,capa_3_comprension,justi_capa3,capa_4_cambio,justi_capa4,capa_5_ejecucion,justi_capa5,capa_6_seguimiento,justi_capa6
CARDIOLOGIA COMERCIAL,El corazón comercial de tu empresa late más lento de lo que debería Mensajes confusos propuestas débiles y oportunidades que se enfrían Aquí reactivamos tu pulso comercial para que tu comunicación vuelva a generar confianza ventas y crecimiento,Si no conviertes no creces,23,CARDIO-S3,Comercial,Arritmia Comercial,Tus ventas laten sin ritmo meses fuertes meses débiles sin patrón estable,PIE,Si la mayoría de tus contactos no son oportunidades reales estás dedicando tiempo a ruido comercial Vamos a medirlo con dos datos Input A son los contactos totales e Input B son las oportunidades calificadas,Introduce contactos totales y oportunidades calificadas para saber si tu sistema comercial filtra bien,Un sistema comercial sano convierte al menos el 30 por ciento de contactos en oportunidades reales,(InputA/InputB),>0.30,70,85,95,100,[{id:'inputA';label:'Contactos totales'};{id:'inputB';label:'Oportunidades calificadas'}],Contactos totales,Oportunidades calificadas,Oportunidades post,Contactos post,Δ ratio de calificación,Reducción real del ruido comercial,Aumento inmediato de precisión comercial,Diagnóstico de Ruido Comercial,Detecta qué parte de tus contactos no son compradores reales,Protocolo de Calificación,Filtra contactos no válidos,Academia de idiomas 312 contactos solo 41 reales Tras calificación suben a 96 oportunidades,rojo,Demasiados leads no reales ruido comercial falta de foco peticiones de bajo valor falta de filtro dispersión actividad sin progreso,Mucho ruido necesitas filtrar,Regla 5 25,Listar oportunidades identificar 5 por ciento clave eliminar zombis definir criterios reasignar tiempo documentar descartes,Porque necesitas eliminar ruido,SIPOC comercial,Porque necesitas entender origen del lead,Optimización del funnel,Porque necesitas mejorar conversión,Checklist de calificación,Porque necesitas estandarizar validación,OKR tracking,Porque necesitas medir leads calificados
NEUROLOGIA ESTRATEGICA,Aquí llegan empresas que saben que pueden rendir más pero aún no lo hacen Falta foco claridad y dirección En esta unidad ordenamos la mente estratégica del negocio para activar decisiones rentables y sostenibles,Sin dirección clara cualquier esfuerzo se diluye,33,NEURO-S1,Estrategia,Amnesia Estratégica,El equipo trabaja pero sin una dirección compartida La visión se diluye y el esfuerzo se dispersa Reconstruimos foco alineación y narrativa estratégica para que todos avancen en la misma dirección,PIE,Si tu equipo no puede explicar los objetivos estratégicos tu negocio avanza sin dirección Vamos a medirlo con dos datos Input A es el número de personas que pueden explicar correctamente los objetivos e Input B es el número total de personas del equipo,Introduce personas alineadas y personas totales para saber tu nivel real de claridad estratégica,Un negocio sano tiene al menos 80 por ciento del equipo alineado con los objetivos,(InputA/InputB),>0.80,70,85,95,100,[{id:'inputA';label:'Personas alineadas con objetivos'};{id:'inputB';label:'Personas totales del equipo'}],Personas alineadas,Personas totales,Personas alineadas post,Personas totales post,Δ alineación,Aumento real de claridad estratégica,Incremento inmediato de cohesión y velocidad,Diagnóstico de Alineación,Detecta cuánto sabe realmente el equipo sobre la dirección del negocio,Protocolo de Visión Compartida,Reconstruye narrativa y foco estratégico,Empresa de reformas solo 27 por ciento del equipo conocía los objetivos Tras protocolo sube a 82 por ciento,azul,Estrategia difusa equipo desalineado prioridades cambiantes fortalezas infrautilizadas amenazas no mapeadas visión desconectada objetivos genéricos falta de marco,El equipo no comparte dirección necesitas medir claridad,Impacto vs Esfuerzo,Listar objetivos validar comprensión detectar brechas reconstruir narrativa definir prioridades comunicar visión revisar alineación semanal,Porque necesitas priorizar qué brechas cerrar,Mapa Estratégico,Porque necesitas visualizar dirección,Definición de Objetivos,Porque necesitas claridad operativa,Rituales de Alineación,Porque necesitas sostener foco,OKR tracking,Porque necesitas medir alineación real
NEUROLOGIA ESTRATEGICA,Aquí llegan empresas que saben que pueden rendir más pero aún no lo hacen Falta foco claridad y dirección En esta unidad ordenamos la mente estratégica del negocio para activar decisiones rentables y sostenibles,Sin dirección clara cualquier esfuerzo se diluye,34,NEURO-S2,Estrategia,Dispersión Directiva,Demasiadas iniciativas abiertas poca tracción real La energía se reparte en exceso y el avance se diluye Identificamos qué detener qué priorizar y dónde concentrar esfuerzo para mover resultados,PIE,Si dedicas muy poco tiempo a estrategia tu negocio vive en urgencias Vamos a medirlo con dos datos Input A son las horas estratégicas reales de la semana e Input B son las horas totales trabajadas,Introduce horas estratégicas y horas totales para saber si tu agenda sostiene crecimiento,Un negocio sano dedica al menos 20 por ciento del tiempo semanal a estrategia,(InputA/InputB),>0.20,70,85,95,100,[{id:'inputA';label:'Horas estratégicas semanales'};{id:'inputB';label:'Horas totales semanales'}],Horas estratégicas,Horas totales,Horas estratégicas post,Horas totales post,Δ tiempo estratégico,Aumento real de tiempo estratégico,Reducción inmediata de urgencias,Diagnóstico de Uso del Tiempo,Detecta cuánto tiempo se pierde en tareas operativas,Protocolo de Recuperación de Tiempo,Recupera foco y elimina urgencias,Clínica privada dueño dedicaba 6 por ciento a estrategia Tras protocolo sube a 24 por ciento,azul,Exceso de urgencias estrategia postergada falta de tiempo protegido prioridades por presión mezcla de tareas foco inestable sin agenda estratégica sin trabajo profundo,No hay foco estratégico necesitas medir tiempo real,Urgente vs Importante,Listar tareas clasificar eliminar urgencias bloquear tiempo definir prioridades delegar revisar semanalmente proteger foco reducir interrupciones,Porque necesitas separar urgente de importante,Mapa de Prioridades,Porque necesitas ver qué mueve resultados,Definición de Agenda Estratégica,Porque necesitas sostener foco,Rituales de Revisión,Porque necesitas mantener dirección,OKR tracking,Porque necesitas medir tiempo estratégico real
NEUROLOGIA ESTRATEGICA,Aquí llegan empresas que saben que pueden rendir más pero aún no lo hacen Falta foco claridad y dirección En esta unidad ordenamos la mente estratégica del negocio para activar decisiones rentables y sostenibles,Sin dirección clara cualquier esfuerzo se diluye,35,NEURO-S3,Estrategia,Síndrome de Decisión Reactiva,Las decisiones se toman sobre la marcha sin criterios estables Eso genera errores repetidos desgaste y complejidad Sustituimos improvisación por sistema sin añadir burocracia,PIE,Si la mayoría de tus decisiones se escalan al dueño tu negocio decide por urgencia no por criterio Vamos a medirlo con dos datos Input A son las decisiones tomadas según criterios definidos e Input B son las decisiones totales del mes,Introduce decisiones con criterio y decisiones totales para saber si tu negocio decide con sistema,Un negocio sano toma al menos 60 por ciento de decisiones según criterios definidos,(InputA/InputB),>0.60,70,85,95,100,[{id:'inputA';label:'Decisiones con criterio definido'};{id:'inputB';label:'Decisiones totales del mes'}],Decisiones con criterio,Decisiones totales,Decisiones con criterio post,Decisiones totales post,Δ decisiones estratégicas,Aumento real de decisiones correctas,Reducción inmediata de desgaste operativo,Diagnóstico de Portafolio,Detecta qué decisiones siguen criterio y cuáles no,Protocolo de Simplificación,Define criterios y elimina improvisación,Agencia de marketing solo 38 por ciento decisiones con criterio Tras protocolo sube a 67 por ciento,azul,Productos dudosos decisiones difíciles portafolio amplio consumo de recursos criterios poco claros inercia falta de análisis margen no optimizado,Las decisiones no siguen criterio necesitas medirlo,Árbol de Decisiones,Calcular criterios simular escenarios definir límites priorizar líneas eliminar tóxicas comunicar cambios ajustar recursos revisar trimestralmente,Porque necesitas comparar escenarios,Análisis causa efecto,Porque necesitas entender origen de errores,Rediseño de Criterios,Porque necesitas decidir sin improvisar,Checklist de Decisión,Porque necesitas ejecutar sin dudar,OKR tracking,Porque necesitas medir decisiones con criterio
GESTION CLINICA,Hay empresas que funcionan pero a costa de demasiado esfuerzo Sistemas forzados personas agotadas y estructuras al limite Aqui rehabilitamos la organizacion para que avance con orden gobernanza y estabilidad real,Funcionar no es lo mismo que sostenerse,41,CLI-S1,Gestion,Ceguera de Control,La empresa avanza pero sin visibilidad real Cierres lentos indicadores inutiles y decisiones basadas en intuicion en lugar de datos Rehabilitamos el sistema de control para que la direccion tenga informacion fresca y fiable,PIE,Si tardas demasiado en cerrar el mes tus decisiones se basan en datos viejos Vamos a medirlo con dos datos Input A son los dias reales de cierre mensual e Input B son los dias objetivo de cierre,Introduce dias de cierre y dias objetivo para saber si tu sistema de control sostiene decisiones,Un negocio sano cierra el mes en menos de 7 dias,(InputA/InputB),<1,70,85,95,100,[{id:'inputA';label:'Dias de cierre real'};{id:'inputB';label:'Dias objetivo de cierre'}],Dias de cierre real,Dias objetivo,Dias de cierre post,Dias objetivo post,Δ dias de cierre,Reduccion real del tiempo de cierre,Aceleracion inmediata de decisiones,Diagnostico de Cierre,Detecta cuellos de botella del cierre mensual,Protocolo de Cierre Clinico,Estandariza y acelera el cierre,Despacho profesional cierre en 19 dias Tras protocolo baja a 6 dias,gris oscuro,Cierre lento datos viejos errores repetidos tareas manuales falta de estandar dependencias ocultas cuellos de botella falta de visibilidad,Tu cierre mensual es lento necesitas medirlo,Impacto vs Esfuerzo,Mapear cierre detectar bloqueos estandarizar pasos eliminar tareas manuales crear checklist revisar dependencias documentar flujo,Porque necesitas priorizar bloqueos del cierre,VSM financiero,Porque necesitas ver el flujo completo,Kaizen administrativo,Porque necesitas reducir tiempos muertos,Checklist de cierre,Porque necesitas estandarizar,OKR tracking,Porque necesitas medir velocidad de cierre
GESTION CLINICA,Hay empresas que funcionan pero a costa de demasiado esfuerzo Sistemas forzados personas agotadas y estructuras al limite Aqui rehabilitamos la organizacion para que avance con orden gobernanza y estabilidad real,Funcionar no es lo mismo que sostenerse,42,CLI-S2,Gestion,Riesgo de Cumplimiento,Las obligaciones fiscales laborales y administrativas estan cogidas con pinzas Retrasos multas y estres constante Rehabilitamos el sistema de cumplimiento para eliminar riesgo y recuperar estabilidad,PIE,Si incumples obligaciones tu negocio asume riesgo legal innecesario Vamos a medirlo con dos datos Input A son las obligaciones cumplidas a tiempo e Input B las obligaciones totales,Introduce obligaciones cumplidas y totales para saber tu nivel real de cumplimiento,Un negocio sano cumple el 100 por ciento de sus obligaciones en plazo,(InputA/InputB),1,70,85,95,100,[{id:'inputA';label:'Obligaciones cumplidas a tiempo'};{id:'inputB';label:'Obligaciones totales'}],Obligaciones cumplidas,Obligaciones totales,Obligaciones cumplidas post,Obligaciones totales post,Δ cumplimiento,Aumento real del cumplimiento,Eliminacion inmediata de riesgo legal,Diagnostico de Cumplimiento,Detecta que obligaciones se retrasan y por que,Protocolo de Cumplimiento Total,Controla fechas criticas y responsables,Asesoria 83 por ciento de cumplimiento Tras protocolo sube a 100 por ciento,gris oscuro,Retrasos obligaciones desconocidas falta de calendario tareas manuales errores recurrentes falta de trazabilidad riesgo de sanciones,Tu cumplimiento es fragil necesitas medirlo,Analisis de Riesgos,Identificar obligaciones criticas mapear flujo detectar retrasos crear calendario definir responsables documentar procesos crear checklist automatizar recordatorios revisar mensualmente,Porque necesitas identificar riesgos,SIPOC administrativo,Porque necesitas ver el flujo completo,Plan de Cumplimiento,Porque necesitas asegurar plazos,Checklist de obligaciones,Porque necesitas ejecutar sin fallos,OKR tracking,Porque necesitas medir cumplimiento mensual
GESTION CLINICA,Hay empresas que funcionan pero a costa de demasiado esfuerzo Sistemas forzados personas agotadas y estructuras al limite Aqui rehabilitamos la organizacion para que avance con orden gobernanza y estabilidad real,Funcionar no es lo mismo que sostenerse,43,CLI-S3,Gestion,Fragilidad de Roles y Responsabilidades,Las tareas caen entre sillas el dueño absorbe todo y nadie sabe quien es responsable de que Rehabilitamos la estructura de roles para crear claridad estabilidad y sostenibilidad,PIE,Si las decisiones y tareas vuelven siempre al dueño tu sistema de roles es fragil Vamos a medirlo con dos datos Input A son las tareas escaladas al dueño e Input B las tareas totales del mes,Introduce tareas escaladas y tareas totales para saber cuanta dependencia existe,Un negocio sano tiene menos del 20 por ciento de tareas escaladas al dueño,(InputA/InputB),<0.20,70,85,95,100,[{id:'inputA';label:'Tareas escaladas al dueño'};{id:'inputB';label:'Tareas totales del mes'}],Tareas escaladas,Tareas totales,Tareas escaladas post,Tareas totales post,Δ dependencia,Reduccion real de dependencia del dueño,Aumento inmediato de estabilidad operativa,Diagnostico de Roles,Detecta huecos y duplicidades,Protocolo de Roles Claros,Define responsabilidades y elimina ambiguedad,Empresa de servicios 47 por ciento tareas escaladas Tras protocolo baja a 14 por ciento,gris oscuro,Roles difusos duplicidades huecos dependencias ocultas dueño saturado conflictos suaves friccion interna tareas sin responsable,Tus roles son fragiles necesitas medir dependencia,Impacto vs Esfuerzo,Listar tareas asignar responsables eliminar duplicidades definir limites crear matriz RACI documentar roles revisar semanalmente,Porque necesitas priorizar huecos de responsabilidad,Mapa de Responsabilidades,Porque necesitas visualizar quien hace que,Definicion de Roles,Porque necesitas claridad interna,Checklist de Roles,Porque necesitas sostener estructura,OKR tracking,Porque necesitas medir dependencia real
CIRUGIA DE MARCA,Hay marcas que existen pero no destacan Identidades que no reflejan el verdadero valor de la empresa Aqui intervenimos la marca con precision quirurgica para elevar posicionamiento coherencia y percepcion,Si no destacas te comparan por precio,51,CIR-S1,Marca,Identidad Competitiva Debil,La identidad visual y narrativa no refleja el valor real del negocio La marca se percibe generica poco profesional o incoherente Rehabilitamos la identidad para que transmita valor desde el primer impacto,PIE,Si tu identidad no refleja tu posicionamiento tu marca pierde valor Vamos a medirlo con dos datos Input A son los elementos de identidad alineados con tu posicionamiento e Input B los elementos totales revisados,Introduce elementos alineados y totales para saber si tu identidad sostiene tu valor,Una marca sana tiene al menos 70 por ciento de identidad alineada con su posicionamiento,(InputA/InputB),>0.70,70,85,95,100,[{id:'inputA';label:'Elementos alineados'};{id:'inputB';label:'Elementos totales'}],Elementos alineados,Elementos totales,Elementos alineados post,Elementos totales post,Δ identidad alineada,Aumento real de percepcion de valor,Incremento inmediato de confianza inicial,Diagnostico de Identidad,Detecta brechas entre identidad y posicionamiento,Protocolo de Identidad Competitiva,Alinea narrativa y estetica con valor real,Estudio creativo identidad alineada 28 por ciento Tras protocolo sube a 79 por ciento,blanco,Identidad debil narrativa difusa incoherencia visual estilo generico baja percepcion de valor primera impresion pobre falta de guia de identidad,Tu identidad no refleja tu valor necesitas medir alineacion,Impacto vs Esfuerzo,Auditar identidad definir narrativa corregir incoherencias actualizar piezas criticas crear sistema visual documentar guia revisar puntos de contacto,Porque necesitas priorizar elementos criticos,Mapa de Identidad,Porque necesitas visualizar tu esencia,Definicion de Narrativa,Porque necesitas fijar tu mensaje,Checklist de identidad,Porque necesitas asegurar consistencia,OKR tracking,Porque necesitas medir identidad real
CIRUGIA DE MARCA,Hay marcas que existen pero no destacan Identidades que no reflejan el verdadero valor de la empresa Aqui intervenimos la marca con precision quirurgica para elevar posicionamiento coherencia y percepcion,Si no destacas te comparan por precio,52,CIR-S2,Marca,Propuesta Unica Difusa,La marca no comunica un valor unico claro El cliente no entiende por que elegirte a ti y no a otro Definimos tu propuesta unica para ocupar un territorio propio y defendible,PIE,Si tu propuesta unica no es clara tu marca se vuelve sustituible Vamos a medirlo con dos datos Input A son los atributos diferenciales definidos e Input B los atributos totales analizados,Introduce atributos diferenciales y totales para saber si tu propuesta unica es solida,Una marca sana tiene al menos 60 por ciento de atributos claramente diferenciales,(InputA/InputB),>0.60,70,85,95,100,[{id:'inputA';label:'Atributos diferenciales'};{id:'inputB';label:'Atributos totales'}],Atributos diferenciales,Atributos totales,Atributos diferenciales post,Atributos totales post,Δ diferenciacion,Aumento real de claridad de posicionamiento,Incremento inmediato de valor percibido,Diagnostico de Diferenciacion,Detecta si tu propuesta unica es clara y defendible,Protocolo de Propuesta Unica,Define territorio valor y mensaje unico,Consultora atributos diferenciales 22 por ciento Tras protocolo sube a 67 por ciento,blanco,Propuesta generica mensajes comunes falta de territorio propio valor poco claro marca sustituible narrativa sin enfoque baja diferenciacion,Tu propuesta unica es difusa necesitas medir diferenciacion,Impacto vs Esfuerzo,Auditar competencia mapear atributos definir territorio sintetizar propuesta crear mensaje unico documentar pilares revisar narrativa,Porque necesitas priorizar atributos diferenciales,Mapa de Territorio,Porque necesitas visualizar tu espacio competitivo,Definicion de Propuesta Unica,Porque necesitas fijar tu diferencia,Checklist de diferenciacion,Porque necesitas asegurar claridad,OKR tracking,Porque necesitas medir diferenciacion real
CIRUGIA DE MARCA,Hay marcas que existen pero no destacan Identidades que no reflejan el verdadero valor de la empresa Aqui intervenimos la marca con precision quirurgica para elevar posicionamiento coherencia y percepcion,Si no destacas te comparan por precio,53,CIR-S3,Marca,Comunicacion de Marca Inconsistente,La marca no se expresa de forma clara constante ni reconocible Cada canal dice algo distinto y el mensaje pierde fuerza Unificamos tono mensajes y expresion diaria para que la marca se sienta solida y coherente,PIE,Si tu mensaje cambia segun quien comunica tu marca pierde fuerza Vamos a medirlo con dos datos Input A son los mensajes alineados con la identidad e Input B los mensajes totales revisados,Introduce mensajes alineados y totales para saber si tu comunicacion sostiene tu marca,Una marca sana mantiene al menos 75 por ciento de mensajes alineados con su identidad,(InputA/InputB),>0.75,70,85,95,100,[{id:'inputA';label:'Mensajes alineados'};{id:'inputB';label:'Mensajes totales'}],Mensajes alineados,Mensajes totales,Mensajes alineados post,Mensajes totales post,Δ coherencia comunicativa,Aumento real de claridad de marca,Incremento inmediato de reconocimiento,Diagnostico de Mensaje,Detecta incoherencias en la expresion diaria,Protocolo de Comunicacion Unificada,Define tono mensajes y expresion por canal,Consultora mensajes alineados 32 por ciento Tras protocolo sube a 81 por ciento,blanco,Mensajes contradictorios tono cambiante expresion desigual narrativa inconsistente equipo comunicando distinto perdida de reconocimiento falta de guia de comunicacion,Tu comunicacion es inconsistente necesitas medir alineacion,Impacto vs Esfuerzo,Auditar mensajes definir tono crear guias unificar expresion corregir incoherencias entrenar equipo revisar piezas criticas documentar estandares,Porque necesitas priorizar mensajes criticos,Mapa de Mensajes,Porque necesitas visualizar como hablas,Definicion de Tono,Porque necesitas fijar expresion,Checklist de comunicacion,Porque necesitas asegurar consistencia,OKR tracking,Porque necesitas medir coherencia comunicativa
PSIQUIATRIA ORGANIZACIONAL,Empresas que respiran tension sin decirlo en voz alta Conflictos latentes desgaste emocional y clima deteriorado Aqui restauramos equilibrio cohesion y salud mental organizacional antes de que el impacto sea irreversible,La tension interna siempre termina saliendo,61,PSI-S1,Organizacional,Sobrecarga Emocional Operativa,El equipo vive en alerta constante urgencias falsas y tension acumulada Esto genera dias perdidos saturacion mental y clima crispado Reducimos hiperactivacion y restauramos estabilidad emocional diaria,PIE,Si demasiados dias del mes se viven con tension alta el sistema nervioso organizacional se agota Vamos a medirlo con dos datos Input A son los dias con tension alta percibida e Input B los dias totales del periodo,Introduce dias con tension y dias totales para saber cuanto estas perdiendo por saturacion emocional,Una organizacion sana tiene menos del 30 por ciento de dias con tension alta,(InputA/InputB),<0.30,70,85,95,100,[{id:'inputA';label:'Dias con tension alta'};{id:'inputB';label:'Dias totales'}],Dias con tension,Dias totales,Dias con tension post,Dias totales post,Δ tension,Reduccion real de dias perdidos,Incremento inmediato de estabilidad emocional,Diagnostico de Tension,Detecta patrones de hiperactivacion emocional,Protocolo de Regulacion Emocional,Reduce ruido urgencias falsas y saturacion,Despacho profesional 47 por ciento dias con tension Tras protocolo baja a 19 por ciento,rojo,Urgencias falsas ruido emocional saturacion mental irritabilidad clima crispado decisiones impulsivas falta de regulacion emocional dias improductivos,Tu sistema emocional esta saturado necesitas medir tension,Impacto vs Esfuerzo,Listar detonantes emocionales clasificar urgencias falsas crear rituales de calma proteger bloques sin tension revisar carga emocional documentar limites redefinir ritmos,Porque necesitas identificar detonantes de tension,Mapa de Tension,Porque necesitas visualizar picos emocionales,Regulacion emocional,Porque necesitas bajar hiperactivacion,Checklist emocional,Porque necesitas asegurar estabilidad,OKR tracking,Porque necesitas medir reduccion de tension
PSIQUIATRIA ORGANIZACIONAL,Empresas que respiran tension sin decirlo en voz alta Conflictos latentes desgaste emocional y clima deteriorado Aqui restauramos equilibrio cohesion y salud mental organizacional antes de que el impacto sea irreversible,La tension interna siempre termina saliendo,62,PSI-S2,Organizacional,Desalineacion de Perfiles,Personas validas estan en roles que no encajan con su perfil Esto genera friccion desgaste y dependencia del dueno Alineamos persona y funcion para recuperar autonomia y estabilidad,PIE,Si demasiadas decisiones escalan al dueno el sistema de roles esta roto Vamos a medirlo con dos datos Input A son las decisiones escaladas e Input B las decisiones totales,Introduce decisiones escaladas y totales para saber cuanta dependencia existe,Una organizacion sana tiene menos del 20 por ciento de decisiones escaladas,(InputA/InputB),<0.20,70,85,95,100,[{id:'inputA';label:'Decisiones escaladas'};{id:'inputB';label:'Decisiones totales'}],Decisiones escaladas,Decisiones totales,Decisiones escaladas post,Decisiones totales post,Δ escalamiento,Reduccion real de dependencia del dueno,Incremento inmediato de autonomia,Diagnostico de Decisiones,Detecta que decisiones escalan y por que,Protocolo de Autonomia,Redistribuye decisiones al nivel correcto,Empresa de logistica 64 por ciento decisiones escaladas Tras protocolo baja a 18 por ciento,rojo,Roles difusos decisiones atascadas dependencia del lider duplicidad de funciones falta de autonomia friccion interna desgaste emocional,Tu sistema de roles esta roto necesitas medir escalamiento,Arbol de decisiones,Mapear decisiones definir autoridad redistribuir carga documentar responsabilidades eliminar escalamiento crear checklist revisar carga por rol,Porque necesitas definir quien decide que,SIPOC de roles,Porque necesitas entender flujo de responsabilidad,Redistribucion de autoridad,Porque necesitas mover decisiones al nivel correcto,Checklist de delegacion,Porque necesitas asegurar autonomia,OKR tracking,Porque necesitas medir reduccion de escalamiento
PSIQUIATRIA ORGANIZACIONAL,Empresas que respiran tension sin decirlo en voz alta Conflictos latentes desgaste emocional y clima deteriorado Aqui restauramos equilibrio cohesion y salud mental organizacional antes de que el impacto sea irreversible,La tension interna siempre termina saliendo,63,PSI-S3,Organizacional,Desconexion Emocional del Equipo,El equipo cumple pero sin energia ni implicacion La motivacion cae en silencio y la pertenencia se erosiona Activamos conexion emocional y recuperamos energia colectiva,PIE,Si el equipo no propone mejoras esta desconectado emocionalmente Vamos a medirlo con dos datos Input A son las iniciativas propuestas e Input B las iniciativas totales posibles,Introduce iniciativas propuestas y totales para saber el nivel real de implicacion,Una organizacion sana genera al menos 30 por ciento de iniciativas desde el equipo,(InputA/InputB),>0.30,70,85,95,100,[{id:'inputA';label:'Iniciativas propuestas'};{id:'inputB';label:'Iniciativas totales posibles'}],Iniciativas propuestas,Iniciativas totales,Iniciativas propuestas post,Iniciativas totales post,Δ implicacion,Aumento real de energia emocional,Incremento inmediato de participacion,Diagnostico de Conexion,Detecta nivel real de implicacion emocional,Protocolo de Reconexion,Activa participacion y pertenencia,Empresa industrial 9 por ciento iniciativas Tras protocolo sube a 34 por ciento,rojo,Apatia baja energia falta de iniciativa clima apagado pertenencia erosionada equipo desconectado motivacion baja,Tu equipo esta desconectado necesitas medir implicacion,Regla 5 25,Mapear momentos de energia identificar frenos emocionales activar rituales de pertenencia crear espacios de voz revisar feedback documentar mejoras,Porque necesitas saber donde se pierde energia,Mapa de Energia,Porque necesitas visualizar picos y valles,Kaizen emocional,Porque necesitas mejorar micro momentos,Checklist de conexion,Porque necesitas asegurar participacion,OKR tracking,Porque necesitas medir implicacion real
RESCATE DE PERSONAS,No estas perdiendo talento Lo estas dejando escapar cada dia sin verlo Personas clave mal ubicadas desgaste silencioso y riesgo real de fuga Aqui intervenimos antes de que eso ocurra diagnostico individual alineacion persona rol con analisis conductual DISC y retencion del talento critico,El talento no avisa cuando se va,71,RES-S1,Personas,Riesgo de Fuga de Talento,El talento critico no se va de un dia para otro Entra en fase de desconexion antes de marcharse Identificamos senales tempranas y actuamos antes de que la fuga sea irreversible,PIE,Si tienes pocos A players el riesgo de fuga es altisimo Vamos a medirlo con dos datos Input A son los empleados A player e Input B los empleados totales,Introduce empleados A player y totales para saber tu nivel real de riesgo,Una empresa sana tiene al menos 20 por ciento de A players,(InputA/InputB),>0.20,70,85,95,100,[{id:'inputA';label:'Empleados A player'};{id:'inputB';label:'Empleados totales'}],Empleados A player,Empleados totales,Empleados A player post,Empleados totales post,Δ A players,Aumento real de talento critico,Incremento inmediato de rendimiento global,Diagnostico de Talento,Identifica cuantos A players tienes realmente,Protocolo de Retencion Critica,Clasifica al equipo por valor aportado,Empresa tecnologica 9 por ciento A players Tras protocolo sube a 23 por ciento,verde,Perfiles criticos en riesgo A players sobrecargados falta de plan de retencion desmotivacion silenciosa senales tempranas de fuga carga desequilibrada falta de seguimiento,Tu empresa tiene perfiles criticos en riesgo necesitas medir talento clave,Analisis de riesgos,Identificar perfiles criticos detectar senales de fuga analizar causas crear plan de retencion equilibrar carga revisar motivadores documentar riesgos,Porque necesitas identificar perfiles vulnerables,5 Porques,Porque necesitas entender por que estan en riesgo,Plan de retencion,Porque necesitas intervenir antes de perder talento,Checklist de gestion de talento,Porque necesitas asegurar acciones consistentes,OKR tracking,Porque necesitas medir estabilidad del talento
RESCATE DE PERSONAS,No estas perdiendo talento Lo estas dejando escapar cada dia sin verlo Personas clave mal ubicadas desgaste silencioso y riesgo real de fuga Aqui intervenimos antes de que eso ocurra diagnostico individual alineacion persona rol con analisis conductual DISC y retencion del talento critico,El talento no avisa cuando se va,72,RES-S2,Personas,Hipoproductividad Sistemica,El sistema tarda demasiado en convertir talento en resultados El onboarding es lento confuso y lleno de friccion Redisenamos la incorporacion para acelerar productividad real,PIE,Si un nuevo empleado tarda demasiado en ser productivo el sistema esta frenando el talento Vamos a medirlo con Input A dias de onboarding actual,Introduce dias de onboarding para saber tu velocidad real de activacion,Una empresa sana activa talento en menos de 30 dias,(InputA),<30,70,85,95,100,[{id:'inputA';label:'Dias de onboarding actual'}],Dias de onboarding actual,—,Dias de onboarding post,—,Δ dias onboarding,Reduccion real del tiempo de aprendizaje,Aceleracion inmediata de productividad,Diagnostico de Onboarding,Identifica cuanto tarda realmente alguien en ser productivo,Protocolo de Onboarding Acelerado,Define pasos claros para nuevos empleados,Clinica dental onboarding 57 dias Tras protocolo baja a 21 dias,verde,Onboarding lento nuevos tardan en rendir proceso confuso experiencia inicial inconsistente tareas duplicadas falta de estandar curva de aprendizaje larga,Tu onboarding es lento necesitas medir tiempo hasta productividad,Impacto vs Esfuerzo,Mapear onboarding identificar pasos criticos crear proceso estandar eliminar duplicados disenar materiales definir checklist automatizar pasos establecer responsables medir incorporacion,Porque necesitas priorizar mejoras criticas,SIPOC de onboarding,Porque necesitas entender el flujo completo,Optimizacion del onboarding,Porque necesitas reducir tiempo hasta productividad,Checklist de onboarding,Porque necesitas asegurar consistencia,OKR tracking,Porque necesitas medir reduccion del tiempo de productividad
